iter	Passed	Remaining
0	144	143997
1	146	73037
2	148	49195
3	149	37231
4	150	30024
5	152	25319
6	155	22110
7	157	19543
8	159	17535
9	161	15950
10	162	14621
11	164	13517
12	165	12582
13	168	11879
14	170	11190
15	172	10578
16	173	10043
17	176	9626
18	178	9194
19	179	8810
20	217	10146
21	225	10036
22	228	9721
23	231	9431
24	234	9135
25	236	8860
26	238	8608
27	241	8370
28	243	8152
29	246	7974
30	248	7780
31	251	7600
32	253	7428
33	280	7956
34	282	7785
35	285	7650
36	287	7487
37	290	7347
38	293	7220
39	295	7082
40	297	6953
41	299	6823
42	301	6717
43	304	6611
44	308	6556
45	313	6504
46	315	6403
47	319	6332
48	322	6267
49	324	6171
50	326	6083
51	328	5990
52	330	5901
53	331	5814
54	333	5732
55	335	5658
56	338	5600
57	340	5525
58	341	5454
59	343	5382
60	345	5313
61	347	5250
62	348	5186
63	350	5132
64	353	5078
65	354	5020
66	356	4961
67	357	4905
68	359	4852
69	361	4799
70	362	4745
71	364	4695
72	367	4671
73	370	4633
74	372	4595
75	374	4556
76	376	4510
77	377	4465
78	379	4423
79	382	4396
80	383	4356
81	385	4315
82	386	4268
83	388	4232
84	389	4195
85	391	4158
86	392	4121
87	395	4093
88	397	4064
89	398	4030
90	400	3999
91	402	3968
92	403	3937
93	405	3905
94	406	3874
95	409	3851
96	412	3836
97	413	3807
98	415	3779
99	416	3751
100	418	3726
101	420	3698
102	422	3675
103	423	3652
104	426	3638
105	428	3613
106	430	3590
107	431	3567
108	433	3543
109	435	3521
110	436	3498
111	438	3477
112	441	3461
113	442	3440
114	444	3419
115	446	3399
116	447	3377
117	449	3356
118	450	3335
119	452	3315
120	455	3306
121	456	3286
122	458	3267
123	459	3248
124	461	3231
125	463	3213
126	464	3194
127	466	3175
128	467	3156
129	469	3144
130	471	3127
131	472	3109
132	474	3092
133	475	3075
134	477	3058
135	478	3041
136	480	3025
137	481	3007
138	484	2998
139	485	2984
140	487	2968
141	488	2950
142	490	2936
143	491	2920
144	492	2904
145	493	2888
146	495	2873
147	496	2858
148	498	2849
149	500	2836
150	501	2822
151	503	2808
152	505	2795
153	506	2782
154	507	2768
155	509	2756
156	510	2742
157	512	2732
